player_id,web_name,team,position,predicted_points,actual_points,error,expected_minutes,actual_minutes
119,Costinha,BHA,DEF,0.54,1,-0.46,14.5,6
238,Grealish,EVE,MID,0.54,1,-0.46,12.7,25
289,Crooks,HUL,MID,0.54,1,-0.46,15.1,68
563,Morita,HUL,MID,0.54,0,0.54,14.4,0
160,Garnacho,AVL,MID,0.53,0,0.53,11.6,0
616,Bouaddi,MCI,MID,0.51,0,0.51,11.5,0
188,Torp,COV,MID,0.5,1,-0.5,12.3,6
9,Hincapie,ARS,DEF,0.49,0,0.49,12.5,0
457,J.Murphy,NEW,MID,0.49,0,0.49,11.6,56
539,O'Nien,SUN,DEF,0.48,0,0.48,14.8,0
584,Hamer,COV,MID,0.46,0,0.46,10.1,0
635,Larsson,FUL,MID,0.46,1,-0.54,11.0,13
406,Kovačić,MCI,MID,0.44,0,0.44,10.8,0
395,Lewis,MCI,DEF,0.42,0,0.42,12.5,0
262,Smith Rowe,FUL,MID,0.41,1,-0.59,9.5,13
74,Brooks,BOU,MID,0.4,0,0.4,9.3,7
185,Sakamoto,COV,MID,0.39,0,0.39,9.9,0
594,David,BHA,FWD,0.39,0,0.39,9.1,0
56,Abraham,AVL,FWD,0.38,1,-0.62,8.4,45
520,Bergvall,TOT,MID,0.38,1,-0.62,10.1,27
596,Ruggeri,AVL,DEF,0.35,0,0.35,8.6,0
617,Cho,HUL,MID,0.34,1,-0.66,7.6,30
600,Osman,BHA,MID,0.33,1,-0.67,7.8,12
611,Wan-Bissaka,AVL,DEF,0.33,3,-2.67,7.9,90
420,Yoro,MUN,DEF,0.32,0,0.32,7.9,0
375,Nyoni,LIV,MID,0.31,0,0.31,6.9,0
212,Hughes,CRY,MID,0.3,1,-0.7,7.3,13
578,Mudryk,TOT,MID,0.3,0,0.3,7.3,0
343,James,LEE,MID,0.28,1,-0.72,7.0,7
595,Gozo,CRY,MID,0.28,1,-0.72,7.0,6
389,Matheus N.,MCI,DEF,0.27,9,-8.73,7.4,90
549,Talbi,SUN,MID,0.27,0,0.27,6.9,0
263,Kevin,FUL,MID,0.26,1,-0.74,6.0,18
157,Estêvão,CHE,MID,0.25,1,-0.75,5.7,4
452,Bruno G.,ARS,MID,0.25,7,-6.75,6.1,45
25,Gyökeres,ARS,FWD,0.24,0,0.24,5.5,0
16,Madueke,ARS,MID,0.23,0,0.23,5.4,0
271,Muniz,FUL,FWD,0.23,1,-0.77,5.0,13
364,Tsimikas,LIV,DEF,0.23,1,-0.77,6.1,45
621,McAidoo,MCI,MID,0.23,0,0.23,5.1,0
207,Mingueza,CRY,DEF,0.22,0,0.22,5.3,0
108,Wilson,BRE,FWD,0.21,0,0.21,4.0,0
285,McNair,HUL,DEF,0.21,0,0.21,5.8,0
308,Furlong,IPS,DEF,0.21,0,0.21,5.4,0
478,Netz,NFO,DEF,0.2,0,0.2,4.9,0
548,Rigg,SUN,MID,0.2,0,0.2,4.5,0
535,Alderete,SUN,DEF,0.19,0,0.19,5.1,0
608,Jebbison,BOU,FWD,0.18,0,0.18,3.8,0
